"","X1.Methyladenosine..282.1...150.0.","X1.Methylhistamine..126.0...109.0.","X2.Aminoadipate..160.1...116.0.","X2..Deoxyuridine..229.1...113.0.","X3.Nitro.tyrosine..225.0...179.3.","X4.Pyridoxic.acid..182.1...138.0.","X5.Hydroxytryptophan..221.0...134.0.","Acetoacetate..101.0...57.0.","Acetylcholine..146.1...87.0.","Aconitate..173.0...129.0.","Adenosine..268.1...136.0.","Adenylosuccinate..462.1...79.0.","Adipic.Acid..144.9...83.0.","Alanine..90.0...44.0.","Allantoin..157.0...114.0.","Alpha.Ketoglutaric.Acid..145.0...101.0.","Aminoisobutyrate..104.1...86.0.","AMP..346.1...134.0.","Anthranilate..136.0...118.0.","Arginine..175.1...70.0.","Asparagine..133.1...74.0.","Aspartic.Acid..132.0...88.0.","Betaine..118.0...58.0.","Biotin..243.1...200.0.","Carnitine..163.1...85.0.","Choline..104.1...60.0.","Citraconic.Acid..129.0...85.0.","Citrulline..174.0...131.0.","Creatine..132.1...90.0.","Creatinine..114.1...44.0.","Cystamine..153.0...108.0.","Cystathionine..221.1...134.0.","Cystine..239.0...97.0.","Cytidine..244.1...112.0.","Cytosine..112.0...95.0.","D.GA3P.DHAP..168.9...78.8.","Dimethylglycine..104.1...58.0.","D.Leucic.Acid..133.1...87.0.","DTMP..321.1...79.0.","Epinephrine..184.1...166.3.","Erythrose..199.0...97.0.","F16BP.F26BP..339.0...79.0.","Fructose..179.0...89.0..3..","Fumaric..115.0...71.0.","G16BP..339.0...79.0..2..","gama.Aminobutyrate..102.1...85.0.","Glucoronate..193.0...113.0.","Glucose..179.0...89.0.","Glutamic.acid..148.1...84.0.","Glutamine..147.1...84.0.","Glutaric.Acid..131.0...87.0.","Glyceraldehyde..89.0...59.0.","Glycerate..105.0...75.0.","Glycerol.3.P..171.0...79.0.","Glycine..76.0...30.2.","Glycochenodeoxycholate..448.3...74.0.","Glycocholate..464.3...74.0.","Guanidinoacetate..116.1...70.0.","Guanosine..284.1...152.0.","Histidine..156.1...110.0.","Homogentisate..167.0...123.0.","Homovanilate..181.0...137.0.","Hydroxyproline.Aminolevulinate..132.1...86.2.","Hypoxanthine..135.0...92.0.","Hyppuric.Acid..178.0...134.0.","IMP..347.0...79.0.","Inosine..269.1...137.0.","Kynorenate..188.0...144.0.","lactate..89.0...43.0.","Leucine.iso.Leucine..132.1...86.2..2..","Linoleic.Acid..277.1...259.0.","Linolenic.Acid..279.1...261.0.","L.Kynurenine..209.1...94.0.","Lysine..147.1...84.0..2..","Malate..133.0...115.0.","Maleic.Acid..115.0...71.0..2..","Malonic.Acid.3HBA..103.0...59.0.","Margaric.Acid..269.1...251.3.","Methionine..150.1...61.0.","MethylSuccinate..131.0...113.0.","N2.N2.Dimethylguanosine..312.1...180.0.","N.AcetylGlycine..116.0...74.0.","Niacinamide..123.0...80.0.","OH.Phenylpyruvate..179.0...107.0.","Ornithine..133.1...70.0.","Orotate..155.0...111.0.","Oxalic.Acid..89.0...61.0.","Oxaloacetate..131.0...87.0..2..","Pentothenate..218.1...88.0.","PEP..166.9...79.0.","Phenylalanine..166.1...120.2.","Proline..116.1...70.0.","Propionate..73.0...55.0.","Pyridoxal.5.P..246.0...96.9.","Pyroglutamic.Acid..130.0...83.4.","Pyruvate..87.0...43.0.","Reduced.glutatione..306.1...143.0.","Salicylurate..196.1...152.0.","Serine..106.0...60.0.","Shikimic.Acid..173.0...93.0.","Sorbitol..183.0...91.0.","Succinate.Methylmalonate..117.0...73.0.","Taurine..126.0...108.0.","Threonine..120.1...102.0.","Trimethylamine.N.oxide..76.1...58.0.","Tryptophan..205.1...146.0.","Tyrosine..182.1...136.3.","Urate..167.0...124.0.","Uridine..245.0...113.0.","Valine..118.1...72.0.","Xanthine..151.0...108.0.","Xanthosine..283.1...151.0.","Xanthurenate..204.0...160.0."
"55","460384.5","28680.84"," 203953.43","10811.744"," 92817.12","349743.2"," 79534.32"," 811425.23","1525593.1"," 710426.4","   6677.667"," 48603.666"," 426089.28"," 6720093"," 69010.09","1613651"," 42592.15","215821.4"," 60219.439","18141408"," 496886.7","1817066.5","32662886","113319.53","100176.96","12773946"," 923729.7"," 7704418"," 5610338","10383149"," 108721.95","12498.132","238707.6","31187.808","  9046.936"," 758981.9"," 625097.0","  21891.63","286779.7","329314.1","165904.78","1344904.7"," 269514.28","2501619","667543.2","23841.55","195143.87","71760851","4094303.2","29596538"," 370444.6"," 71570.27"," 174687.1","146990.90","185390.77","  540561.785","  45732.003","39610.20"," 33775.632","14904168","1104681.2","1037626.8","1263557.0","1915101.2"," 118709.65","  96695.68","139561.408","104429.16","42988555","22161389"," 57115.836"," 976488.4","131631.78"," 8727833"," 9537700","2328563","26369283"," 66409.28"," 579223.5"," 867617.1","14186.858"," 252271.5"," 16078.836"," 54342.30","3229726","  89054.02","155581.11"," 395687.6"," 76683.79","125174.65","11436701","36397768","17924.823"," 51447.23"," 63077.41","308850.30"," 82706.46","26113.646","2042026"," 2967606.0"," 85878.66","2720681","1431978.9","226029.9"," 1183770.6","4771923.9","3623209","57065957","19890.480","2181806"," 1716714.3","  36507.168"," 73916.83"
"57","496886.7","17924.82"," 215821.41"," 9046.936"," 76683.79","329314.1"," 89054.02","1817066.52","2042025.7"," 758981.9"," 286779.689"," 42592.153"," 185390.77"," 5610338"," 96695.68","1716714"," 45732.00","203953.4"," 26113.646","12773946"," 667543.2"," 540561.8","26369283","131631.78"," 82706.46"," 9537700","1183770.6"," 7704418","14904168","11436701"," 108721.95"," 6677.667","195143.9","39610.198"," 12498.132"," 923729.7","1915101.2","  31187.81","226029.9","308850.3","125174.65","1344904.7"," 238707.58","2501619","625097.0","23841.55","174687.13","71760851","1525593.1","36397768"," 395687.6"," 51447.23"," 139561.4","269514.28","155581.11","   33775.632","  14186.858","48603.67"," 73916.831","18141408","1037626.8"," 811425.2"," 976488.4","1613650.9"," 349743.15"," 100176.96","146990.904"," 69010.09","42988555","29596538"," 79534.316"," 867617.1"," 60219.44"," 8727833"," 6720093","2720681","22161389"," 54342.30"," 710426.4","1263557.0","10811.744"," 370444.6"," 19890.480"," 66409.28","3229726","  71570.27","165904.78"," 460384.5","104429.16","118709.65","10383149","32662886","16078.836","113319.53"," 63077.41","426089.28"," 57115.84","28680.844","2181806"," 4771923.9"," 85878.66","2328563","1104681.2","252271.5","  579223.5","4094303.2","2967606","57065957","21891.626","3623209"," 1431978.9","  36507.168"," 92817.12"
"58","370444.6","23841.55","  82706.46","12498.132","104429.16","426089.3"," 73916.83"," 496886.70","1915101.2"," 269514.3","  63077.407"," 39610.198"," 108721.95"," 8727833"," 89054.02","1817067"," 33775.63","252271.5"," 92817.123","18141408"," 758981.9"," 579223.5","42988555"," 69010.09"," 79534.32"," 6720093"," 460384.5","10383149"," 3229726","12773946"," 540561.79"," 6677.667","215821.4","17924.823","  9046.936"," 923729.7","1104681.2","  57115.84","226029.9","308850.3","155581.11","1344904.7"," 203953.43","2042026","667543.2","19890.48","165904.78","71760851","1183770.6","32662886"," 286779.7"," 51447.23"," 195143.9","174687.13","238707.58","  811425.228"," 118709.648","66409.28"," 54342.302","22161389","1037626.8"," 867617.1","2967606.0","1263557.0","1613650.95","  76683.79","139561.408"," 42592.15","29596538","26369283"," 26113.646"," 349743.2"," 45732.00","14904168"," 4771924","2181806"," 2720681"," 60219.44"," 710426.4","1525593.1","10811.744"," 146990.9"," 21891.626"," 48603.67","5610338"," 100176.96","113319.53"," 329314.1","625096.99","125174.65","11436701","36397768","16078.836"," 36507.17"," 96695.68","185390.77"," 71570.27","31187.808","2328563"," 9537700.2"," 85878.66","1716714","1431978.9","395687.6"," 7704418.2","4094303.2","2501619","57065957","14186.858","3623209","  976488.4","  28680.844","131631.78"
"59","540561.8","26113.65"," 203953.43"," 9046.936"," 79534.32","426089.3"," 71570.27","2967605.96","1716714.3"," 758981.9"," 329314.091"," 39610.198"," 286779.69"," 5610338"," 96695.68","1525593"," 36507.17","226029.9"," 31187.808","11436701"," 625097.0"," 460384.5","26369283","113319.53","100176.96"," 7704418","1183770.6"," 6720093","12773946"," 9537700"," 146990.90","10811.744","195143.9","28680.844","  6677.667"," 923729.7","1915101.2","  17924.82","269514.3","349743.2","139561.41","1263557.0"," 215821.41","2042026","667543.2","23841.55","174687.13","71760851","1613650.9","18141408"," 395687.6"," 60219.44"," 155581.1","252271.47","165904.78","  131631.776","  21891.626","54342.30"," 92817.123","14904168","1344904.7"," 710426.4"," 811425.2","1104681.2","  76683.79"," 104429.16","238707.575"," 48603.67","32662886","29596538"," 51447.231"," 867617.1"," 66409.28","10383149"," 4771924","1817067","36397768"," 42592.15"," 579223.5","1037626.8","14186.858"," 496886.7"," 69010.087"," 63077.41","4094303","  45732.00","125174.65"," 370444.6","118709.65","108721.95"," 8727833","22161389","12498.132"," 73916.83"," 57115.84","185390.77"," 82706.46","33775.632","2181806","57065957.3"," 85878.66","2328563","1431978.9","308850.3"," 2720680.7","3229726.2","2501619","42988555","19890.480","3623209","  976488.4","  16078.836"," 89054.02"
"60","540561.8","28680.84"," 165904.78","12498.132"," 85878.66","426089.3"," 89054.02","5610338.26","1915101.2"," 370444.6"," 125174.647"," 33775.632"," 238707.58"," 3229726"," 76683.79","1613651"," 42592.15","252271.5"," 71570.274","14904168"," 625097.0","1183770.6","32662886","108721.95","100176.96"," 8727833"," 579223.5"," 4771924","12773946"," 9537700","  73916.83"," 6677.667","185390.8","51447.231"," 31187.808","1104681.2","1263557.0"," 104429.16","269514.3","395687.6","174687.13","1344904.7"," 203953.43","2042026","758981.9","26113.65","329314.09","71760851","1431978.9","29596538"," 460384.5"," 82706.46"," 226029.9","113319.53","146990.90","  155581.114","  19890.480","45732.00"," 14186.858","11436701"," 867617.1"," 923729.7"," 811425.2","2501618.8"," 496886.70","  92817.12"," 39610.198"," 57115.84","36397768","18141408"," 36507.168"," 710426.4"," 66409.28"," 6720093"," 3623209","2181806","42988555"," 60219.44"," 667543.2"," 976488.4","17924.823"," 308850.3","  9046.936"," 69010.09","4094303","  96695.68","139561.41"," 349743.2","286779.69","118709.65","10383149","26369283","10811.744","131631.78"," 48603.67","215821.41"," 79534.32","23841.547","2720681"," 7704418.2"," 54342.30","1817067","1525593.1","195143.9","22161388.9","2328562.6","1716714","57065957","16078.836","2967606"," 1037626.8","  21891.626"," 63077.41"
"61","460384.5","28680.84"," 215821.41","14186.858","125174.65","349743.2"," 82706.46","6720092.70","1344904.7"," 496886.7"," 579223.452"," 45732.003"," 195143.87"," 5610338"," 54342.30","1716714"," 42592.15","286779.7"," 48603.666","12773946"," 667543.2"," 395687.6","32662886","113319.53","100176.96"," 7704418"," 758981.9","10383149"," 9537700","11436701"," 104429.16"," 6677.667","174687.1","26113.646","  9046.936","1037626.8","1915101.2","  39610.20","238707.6","329314.1","146990.90","1613650.9"," 269514.28","2181806","625097.0","17924.82","155581.11","71760851","2720680.7","22161389"," 370444.6"," 66409.28"," 203953.4","226029.94","185390.77","   23841.547","  16078.836","69010.09"," 76683.790","18141408","1525593.1"," 811425.2"," 923729.7","1431978.9","  96695.68","  92817.12","118709.648"," 33775.63","36397768","29596538"," 63077.407","1104681.2"," 51447.23","14904168"," 3623209","2042026","42988555"," 57115.84"," 710426.4","1183770.6","12498.132"," 540561.8"," 31187.808"," 89054.02","3229726","  73916.83","252271.47"," 308850.3","131631.78","108721.95"," 8727833","26369283","10811.744","139561.41"," 85878.66","165904.78"," 60219.44","36507.168","2967606"," 4771923.9"," 79534.32","1817067","1263557.0","426089.3","  976488.4","2501618.8","2328563","57065957","19890.480","4094303","  867617.1","  21891.626"," 71570.27"
"62","426089.3","21891.63"," 308850.30","14186.858"," 82706.46","329314.1"," 69010.09","1104681.19","1431978.9"," 540561.8","  39610.198"," 48603.666"," 139561.41"," 4771924","195143.87","1915101"," 45732.00","203953.4","104429.164","11436701"," 579223.5"," 710426.4","36397768","113319.53"," 76683.79"," 9537700"," 811425.2"," 8727833","14904168","12773946"," 125174.65","12498.132","165904.8","33775.632"," 10811.744"," 923729.7"," 496886.7","  23841.55","185390.8","286779.7"," 85878.66","1525593.1"," 155581.11","2181806","667543.2","28680.84","174687.13","71760851","2720680.7","42988555"," 370444.6"," 36507.17"," 252271.5","146990.90","215821.41"," 1183770.603"," 269514.283","54342.30","  6677.667","18141408","1344904.7"," 758981.9","1716714.3","1817066.5","  92817.12","  79534.32"," 31187.808"," 60219.44","32662886","26369283"," 73916.831"," 976488.4"," 96695.68"," 7704418"," 5610338","2042026","22161389"," 51447.23"," 625097.0","1037626.8","16078.836"," 349743.2"," 42592.153"," 66409.28","4094303","  71570.27","100176.96"," 395687.6","238707.58","108721.95","10383149","29596538"," 9046.936","460384.47"," 57115.84","131631.78"," 63077.41","26113.646","2501619"," 6720092.7","118709.65","2328563"," 867617.1","226029.9"," 1613650.9","3229726.2","3623209","57065957","17924.823","2967606"," 1263557.0","  19890.480"," 89054.02"
"63","625097.0","33775.63"," 238707.58"," 6677.667"," 71570.27","329314.1"," 76683.79","4771923.94","1817066.5"," 667543.2"," 226029.941"," 51447.231"," 185390.77"," 2967606","215821.41","1344905"," 54342.30","195143.9"," 73916.831","12773946"," 460384.5"," 426089.3","26369283","100176.96"," 89054.02"," 5610338","1037626.8","10383149"," 9537700","14904168"," 252271.47","48603.666","155581.1","39610.198"," 26113.646"," 976488.4"," 923729.7","  45732.00","165904.8","308850.3","108721.95","1183770.6"," 174687.13","1716714","579223.5","14186.86","867617.05","71760851","2720680.7","32662886"," 370444.6"," 66409.28"," 146990.9","131631.78","139561.41","   85878.656","  23841.547","31187.81","125174.647"," 8727833","1104681.2"," 710426.4","1613650.9","3229726.2"," 496886.70","  36507.17","395687.644"," 19890.48","42988555","22161389","  9046.936"," 349743.2"," 92817.12"," 6720093"," 3623209","2042026","36397768"," 57115.84"," 540561.8"," 811425.2","21891.626"," 758981.9"," 12498.132"," 60219.44","4094303","  79534.32","118709.65"," 286779.7","104429.16"," 96695.68"," 7704418","29596538","16078.836"," 28680.84","113319.53","269514.28"," 82706.46","17924.823","1915101","18141408.4"," 63077.41","2501619","1525593.1","203953.4","11436701.5","2181805.5","1431979","57065957","10811.744","2328563"," 1263557.0","  42592.153"," 69010.09"
"64","395687.6","23841.55"," 155581.11"," 6677.667"," 73916.83","460384.5"," 76683.79"," 496886.70","1431978.9"," 811425.2","  92817.123"," 45732.003"," 139561.41"," 4771924","195143.87","2042026"," 33775.63","185390.8","104429.164","14904168"," 667543.2"," 625097.0","29596538"," 89054.02"," 96695.68"," 9537700","1104681.2"," 4094303","18141408"," 7704418","  60219.44","31187.808","269514.3","26113.646","  9046.936"," 867617.1","1183770.6","  71570.27","215821.4","329314.1","118709.65","1525593.1"," 174687.13","1817067","579223.5","19890.48","131631.78","71760851","2181805.5","26369283"," 349743.2"," 85878.66"," 370444.6","286779.69","165904.78"," 1716714.279"," 238707.575","42592.15"," 12498.132","12773946","1037626.8"," 710426.4","1613650.9","1344904.7"," 226029.94","  63077.41"," 36507.168"," 79534.32","32662886","22161389"," 54342.302"," 758981.9"," 66409.28"," 8727833"," 5610338","1915101"," 6720093"," 39610.20"," 540561.8","1263557.0","10811.744"," 426089.3"," 21891.626"," 69010.09","3623209"," 108721.95","146990.90"," 308850.3","125174.65","113319.53","10383149","36397768","14186.858"," 82706.46"," 48603.67","252271.47"," 57115.84","28680.844","2328563","57065957.3","100176.96","2720681"," 923729.7","203953.4","11436701.5","2501618.8","3229726","42988555","16078.836","2967606","  976488.4","  17924.823"," 51447.23"
"65","426089.3","39610.20"," 269514.28"," 9046.936"," 89054.02","370444.6"," 71570.27","5610338.26","4094303.2"," 758981.9","  23841.547"," 33775.632"," 349743.15"," 4771924","146990.90","1716714"," 48603.67","195143.9","108721.945","14904168"," 625097.0"," 710426.4","36397768"," 92817.12","100176.96","12773946","1104681.2","10383149"," 6720093","11436701","  79534.32","14186.858","185390.8","19890.480"," 96695.685"," 811425.2"," 976488.4"," 104429.16","203953.4","329314.1","118709.65","1037626.8"," 165904.78","2501619","579223.5","26113.65","174687.13","71760851","1817066.5","29596538"," 460384.5"," 42592.15"," 226029.9","155581.11","215821.41","   57115.836","  60219.439","45732.00"," 16078.836","18141408"," 923729.7"," 667543.2","1183770.6","1613650.9"," 395687.64","  54342.30"," 36507.168"," 31187.81","32662886","22161389"," 66409.277"," 867617.1"," 63077.41"," 8727833"," 7704418","2042026","57065957"," 51447.23"," 540561.8","1263557.0","10811.744"," 308850.3"," 17924.823"," 69010.09","3229726"," 131631.78","139561.41"," 496886.7"," 82706.46","113319.53"," 9537700","26369283"," 6677.667","252271.47","125174.65","238707.58"," 76683.79","28680.844","2720681"," 1915101.2"," 85878.66","2328563","1431978.9","286779.7"," 1525593.1","3623209.4","2967606","42988555","12498.132","2181806"," 1344904.7","  21891.626"," 73916.83"
"66","496886.7","21891.63"," 165904.78","12498.132","108721.95","426089.3"," 73916.83"," 667543.15","1716714.3"," 540561.8"," 308850.304"," 36507.168"," 146990.90"," 5610338","139561.41","1915101"," 51447.23","203953.4"," 48603.666","14904168"," 976488.4"," 710426.4","22161389","104429.16"," 79534.32"," 6720093"," 811425.2","10383149","11436701","12773946","  89054.02"," 9046.936","286779.7","16078.836"," 39610.198","1183770.6","1525593.1","  31187.81","226029.9","395687.6"," 92817.12","1613650.9"," 185390.77","2501619","923729.7","28680.84","131631.78","71760851","2181805.5","26369283"," 460384.5"," 69010.09"," 155581.1","215821.41","195143.87","  349743.151","  33775.632","57115.84"," 42592.153","18141408","1344904.7","1037626.8","1263557.0"," 867617.1"," 118709.65","  96695.68"," 71570.274"," 54342.30","42988555","29596538"," 23841.547"," 579223.5"," 60219.44"," 9537700"," 4771924","2328563"," 8727833"," 45732.00"," 758981.9","1431978.9","10811.744"," 329314.1"," 17924.823"," 85878.66","3229726","  63077.41","174687.13"," 370444.6","100176.96","125174.65"," 7704418","36397768"," 6677.667","252271.47"," 66409.28","238707.58"," 76683.79","26113.646","2042026","32662886.2"," 82706.46","2967606","1104681.2","269514.3"," 1817066.5","3623209.4","2720681","57065957","14186.858","4094303","  625097.0","  19890.480","113319.53"
"67","349743.2","39610.20"," 195143.87","17924.823"," 76683.79","426089.3","113319.53"," 329314.09","1613650.9"," 667543.2","  28680.844"," 14186.858"," 118709.65"," 4771924"," 31187.81","1817067"," 57115.84","238707.6"," 26113.646","18141408"," 579223.5","1263557.0","32662886","139561.41","125174.65"," 8727833","1037626.8"," 9537700"," 7704418","12773946","  42592.15"," 9046.936","226029.9","23841.547"," 63077.407"," 867617.1","1716714.3","  69010.09","252271.5","496886.7","185390.77"," 811425.2"," 155581.11","2328563","540561.8","51447.23","460384.47","57065957","1104681.2","42988555"," 269514.3"," 36507.17"," 215821.4","395687.64","370444.55","  174687.132","  12498.132","33775.63"," 48603.666","29596538"," 976488.4"," 758981.9"," 710426.4","2501618.8"," 100176.96","  89054.02","165904.776"," 60219.44","14904168","26369283"," 85878.656","1431978.9"," 54342.30","10383149"," 5610338","2042026","22161389"," 79534.32"," 625097.0","1183770.6","10811.744"," 923729.7"," 82706.457"," 73916.83","4094303"," 131631.78"," 71570.27"," 286779.7"," 45732.00","146990.90","11436701","36397768"," 6677.667","203953.43","108721.95"," 66409.28"," 92817.12","19890.480","3229726"," 6720092.7","104429.16","1525593","1344904.7","308850.3"," 3623209.4","2967606.0","2181806","71760851","21891.626","2720681"," 1915101.2","  16078.836"," 96695.68"
"68","269514.3","39610.20"," 185390.77","21891.626"," 79534.32","349743.2","104429.16"," 758981.94","1817066.5"," 395687.6","  36507.168"," 28680.844","  66409.28"," 7704418"," 60219.44","1915101"," 82706.46","226029.9"," 26113.646","14904168"," 710426.4","1104681.2","29596538","174687.13","146990.90"," 9537700"," 625097.0"," 8727833"," 6720093","11436701"," 131631.78","12498.132","238707.6","17924.823"," 85878.656"," 867617.1","2042025.7","  63077.41","215821.4","370444.6","195143.87"," 811425.2"," 113319.53","3229726","426089.3","42592.15","496886.70","57065957","1263557.0","36397768"," 308850.3"," 45732.00"," 165904.8","252271.47","155581.11","   19890.480","   9046.936","48603.67","  6677.667","22161389","1613650.9","1183770.6"," 579223.5","1525593.1","2181805.53","  71570.27"," 16078.836"," 51447.23","18141408","26369283"," 76683.790"," 976488.4"," 73916.83","12773946"," 5610338","2720681","42988555"," 69010.09"," 667543.2","1344904.7","23841.547"," 540561.8","108721.945"," 96695.68","4771924","  54342.30"," 89054.02"," 329314.1","203953.43","125174.65","10383149","32662886","14186.858","460384.47","100176.96"," 57115.84","118709.65","31187.808","2501619"," 1037626.8","139561.41","1716714","1431978.9","286779.7"," 4094303.2","2328562.6","3623209","71760851","33775.632","2967606","  923729.7","  10811.744"," 92817.12"
"69","395687.6","39610.20"," 174687.13","17924.823"," 66409.28","349743.2"," 73916.83"," 329314.09","2042025.7"," 667543.2","  36507.168"," 14186.858","  51447.23"," 5610338"," 76683.79","1613651"," 57115.84","203953.4"," 31187.808","18141408"," 625097.0","1104681.2","42988555","125174.65","113319.53"," 8727833","1037626.8","10383149"," 7704418","14904168"," 165904.78"," 9046.936","238707.6","19890.480"," 33775.632"," 867617.1","1431978.9","  16078.84","226029.9","370444.6","131631.78"," 710426.4"," 104429.16","2328563","460384.5","45732.00","496886.70","57065957","2181805.5","32662886"," 286779.7"," 42592.15"," 269514.3","215821.41","146990.90","  811425.228"," 252271.466","48603.67","  6677.667","26369283","1344904.7"," 758981.9","1263557.0","2501618.8"," 155581.11","  79534.32"," 10811.744"," 71570.27","22161389","29596538"," 54342.302"," 923729.7","100176.96","11436701"," 4771924","1915101"," 9537700","118709.65"," 579223.5","1183770.6","21891.626"," 195143.9","139561.408"," 69010.09","4094303","  89054.02"," 63077.41"," 308850.3","185390.77"," 82706.46","12773946","36397768","12498.132","540561.79"," 85878.66"," 60219.44"," 92817.12","23841.547","1817067"," 3229726.2","108721.95","1525593"," 976488.4","426089.3"," 6720092.7","2967606.0","3623209","71760851","26113.646","2720681"," 1716714.3","  28680.844"," 96695.68"
"70","370444.6","48603.67"," 113319.53","23841.547"," 85878.66","395687.6","108721.95","  96695.68","1716714.3"," 579223.5","  42592.153"," 21891.626","  57115.84"," 9537700"," 54342.30","1525593"," 69010.09","226029.9"," 39610.198","18141408"," 758981.9","1613650.9","32662886","185390.77","139561.41","10383149"," 811425.2"," 8727833"," 7704418","14904168","  89054.02"," 9046.936","215821.4","19890.480"," 28680.844"," 923729.7","1183770.6","  14186.86","203953.4","426089.3","165904.78"," 867617.1"," 100176.96","2328563","460384.5","36507.17","540561.79","71760851","2967606.0","26369283"," 329314.1"," 66409.28"," 252271.5","496886.70","238707.58","   82706.457","  16078.836","63077.41","  6677.667","22161389","1104681.2"," 976488.4"," 625097.0","2720680.7"," 155581.11","1037626.84"," 31187.808"," 45732.00","36397768","29596538"," 51447.231"," 667543.2"," 73916.83","11436701"," 6720093","1915101"," 2042026"," 60219.44"," 710426.4","1263557.0","10811.744"," 195143.9"," 71570.274"," 76683.79","5610338","  79534.32","146990.90"," 349743.2","286779.69"," 92817.12","12773946","42988555","17924.823","269514.28","104429.16","174687.13","125174.65","26113.646","2501619"," 2181805.5","118709.65","1431979","1344904.7","308850.3"," 3229726.2","4771923.9","3623209","57065957","33775.632","4094303"," 1817066.5","  12498.132","131631.78"
"71","329314.1","36507.17"," 203953.43","26113.646"," 79534.32","370444.6","113319.53"," 625096.99","3229726.2"," 579223.5","  23841.547"," 14186.858"," 100176.96"," 7704418"," 48603.67","1716714"," 92817.12","226029.9"," 16078.836","14904168"," 710426.4","1104681.2","42988555","146990.90","125174.65","12773946"," 867617.1"," 8727833"," 4094303","11436701"," 174687.13"," 6677.667","252271.5","17924.823"," 42592.153","1037626.8","2042025.7","  28680.84","238707.6","426089.3","155581.11"," 811425.2","  69010.09","3623209","460384.5","39610.20","496886.70","57065957","1344904.7","29596538"," 349743.2"," 60219.44"," 185390.8","286779.69","215821.41","   63077.407","  10811.744","45732.00"," 33775.632","22161389","1431978.9"," 976488.4"," 758981.9","2328562.6"," 104429.16","  57115.84","165904.776"," 51447.23","18141408","26369283"," 54342.302"," 923729.7","118709.65"," 9537700"," 6720093","2181806","32662886"," 71570.27"," 667543.2","1263557.0","12498.132"," 540561.8"," 73916.831"," 76683.79","5610338","  96695.68"," 85878.66"," 395687.6","195143.87","139561.41","10383149","36397768"," 9046.936","269514.28"," 82706.46"," 66409.28","131631.78","31187.808","2720681"," 1817066.5"," 89054.02","1613651","1183770.6","308850.3"," 2501618.8","2967606.0","1915101","71760851","21891.626","4771924"," 1525593.1","  19890.480","108721.95"
"72","329314.1","51447.23"," 203953.43","21891.626"," 69010.09","426089.3"," 92817.12"," 579223.45","2042025.7"," 625097.0","  39610.198"," 14186.858"," 125174.65"," 4771924"," 54342.30","1613651"," 60219.44","238707.6"," 31187.808","12773946"," 667543.2"," 710426.4","42988555","165904.78","113319.53"," 8727833","1037626.8"," 6720093","14904168","11436701"," 139561.41","17924.823","269514.3","10811.744"," 19890.480"," 976488.4","2181805.5","  33775.63","252271.5","460384.5","185390.77"," 923729.7","  79534.32","1915101","496886.7","42592.15","395687.64","57065957","1817066.5","32662886"," 370444.6"," 45732.00"," 286779.7","215821.41","226029.94","  100176.963","   9046.936","57115.84","  6677.667","18141408","1344904.7"," 811425.2"," 758981.9","2328562.6","  63077.41"," 195143.87"," 28680.844"," 71570.27","26369283","22161389"," 66409.277","1183770.6"," 48603.67","10383149"," 5610338","1716714","36397768"," 73916.83"," 540561.8","1263557.0","16078.836"," 867617.1"," 96695.685"," 85878.66","4094303","  76683.79","108721.95"," 349743.2"," 82706.46","174687.13"," 9537700","29596538","12498.132","131631.78","146990.90"," 89054.02","155581.11","26113.646","3623209"," 7704418.2","104429.16","1525593","1431978.9","308850.3"," 2720680.7","3229726.2","2501619","71760851","36507.168","2967606"," 1104681.2","  23841.547","118709.65"
"73","252271.5","33775.63"," 286779.69","26113.646"," 66409.28","370444.6","104429.16"," 540561.79","1915101.2"," 426089.3","  23841.547"," 21891.626"," 155581.11"," 6720093"," 36507.17","2042026"," 73916.83","226029.9"," 28680.844","14904168"," 667543.2","1525593.1","42988555","185390.77"," 96695.68","11436701"," 758981.9"," 9537700"," 8727833","10383149"," 125174.65","12498.132","215821.4","16078.836"," 54342.302","1037626.8","1817066.5","  71570.27","238707.6","395687.6","165904.78"," 923729.7"," 108721.95","3229726","579223.5","42592.15","496886.70","57065957","1431978.9","36397768"," 269514.3"," 39610.20"," 174687.1","308850.30","460384.47","   60219.439","  17924.823","45732.00","  6677.667","22161389","1263557.0"," 976488.4"," 811425.2","1104681.2"," 195143.87"," 139561.41"," 10811.744"," 57115.84","18141408","29596538"," 79534.316","1183770.6"," 63077.41","12773946"," 4094303","2181806","26369283"," 85878.66"," 625097.0","1613650.9","14186.858"," 867617.1"," 51447.231"," 82706.46","5610338"," 113319.53"," 76683.79"," 349743.2","203953.43","146990.90"," 7704418","32662886"," 9046.936"," 92817.12"," 69010.09"," 89054.02","131631.78","48603.666","4771924"," 2967606.0","100176.96","1716714","1344904.7","329314.1"," 2328562.6","3623209.4","2501619","71760851","31187.808","2720681","  710426.4","  19890.480","118709.65"
