"Sample","Label","X1.Methyladenosine..282.1...150.0.","X1.Methylhistamine..126.0...109.0.","X2.Aminoadipate..160.1...116.0.","X2..Deoxyuridine..229.1...113.0.","X3.Nitro.tyrosine..225.0...179.3.","X4.Pyridoxic.acid..182.1...138.0.","X5.Hydroxytryptophan..221.0...134.0.","Acetoacetate..101.0...57.0.","Acetylcholine..146.1...87.0.","Aconitate..173.0...129.0.","Adenosine..268.1...136.0.","Adenylosuccinate..462.1...79.0.","Adipic.Acid..144.9...83.0.","Alanine..90.0...44.0.","Allantoin..157.0...114.0.","Alpha.Ketoglutaric.Acid..145.0...101.0.","Aminoisobutyrate..104.1...86.0.","AMP..346.1...134.0.","Anthranilate..136.0...118.0.","Arginine..175.1...70.0.","Asparagine..133.1...74.0.","Aspartic.Acid..132.0...88.0.","Betaine..118.0...58.0.","Biotin..243.1...200.0.","Carnitine..163.1...85.0.","Choline..104.1...60.0.","Citraconic.Acid..129.0...85.0.","Citrulline..174.0...131.0.","Creatinine..114.1...44.0.","Cystamine..153.0...108.0.","Cystathionine..221.1...134.0.","Cystine..239.0...97.0.","Cytidine..244.1...112.0.","Cytosine..112.0...95.0.","D.GA3P.DHAP..168.9...78.8.","Dimethylglycine..104.1...58.0.","D.Leucic.Acid..133.1...87.0.","DTMP..321.1...79.0.","Epinephrine..184.1...166.3.","Erythrose..199.0...97.0.","F16BP.F26BP..339.0...79.0.","Fructose..179.0...89.0..3..","Fumaric..115.0...71.0.","G16BP..339.0...79.0..2..","gama.Aminobutyrate..102.1...85.0.","Glucoronate..193.0...113.0.","Glucose..179.0...89.0.","Glutamic.acid..148.1...84.0.","Glutamine..147.1...84.0.","Glutaric.Acid..131.0...87.0.","Glyceraldehyde..89.0...59.0.","Glycerate..105.0...75.0.","Glycerol.3.P..171.0...79.0.","Glycine..76.0...30.2.","Glycochenodeoxycholate..448.3...74.0.","Glycocholate..464.3...74.0.","Guanidinoacetate..116.1...70.0.","Guanosine..284.1...152.0.","Histidine..156.1...110.0.","Homogentisate..167.0...123.0.","Homovanilate..181.0...137.0.","Hydroxyproline.Aminolevulinate..132.1...86.2.","Hypoxanthine..135.0...92.0.","Hyppuric.Acid..178.0...134.0.","IMP..347.0...79.0.","Inosine..269.1...137.0.","Kynorenate..188.0...144.0.","lactate..89.0...43.0.","Leucine.iso.Leucine..132.1...86.2..2..","Linoleic.Acid..277.1...259.0.","Linolenic.Acid..279.1...261.0.","L.Kynurenine..209.1...94.0.","Lysine..147.1...84.0..2..","Malate..133.0...115.0.","Maleic.Acid..115.0...71.0..2..","Malonic.Acid.3HBA..103.0...59.0.","Margaric.Acid..269.1...251.3.","Methionine..150.1...61.0.","MethylSuccinate..131.0...113.0.","N2.N2.Dimethylguanosine..312.1...180.0.","N.AcetylGlycine..116.0...74.0.","Niacinamide..123.0...80.0.","OH.Phenylpyruvate..179.0...107.0.","Ornithine..133.1...70.0.","Orotate..155.0...111.0.","Oxalic.Acid..89.0...61.0.","Oxaloacetate..131.0...87.0..2..","Pentothenate..218.1...88.0.","PEP..166.9...79.0.","Phenylalanine..166.1...120.2.","Proline..116.1...70.0.","Propionate..73.0...55.0.","Pyridoxal.5.P..246.0...96.9.","Pyroglutamic.Acid..130.0...83.4.","Pyruvate..87.0...43.0.","Reduced.glutatione..306.1...143.0.","Salicylurate..196.1...152.0.","Serine..106.0...60.0.","Shikimic.Acid..173.0...93.0.","Sorbitol..183.0...91.0.","Succinate.Methylmalonate..117.0...73.0.","Taurine..126.0...108.0.","Threonine..120.1...102.0.","Trimethylamine.N.oxide..76.1...58.0.","Tryptophan..205.1...146.0.","Tyrosine..182.1...136.3.","Urate..167.0...124.0.","Uridine..245.0...113.0.","Valine..118.1...72.0.","Xanthine..151.0...108.0.","Xanthosine..283.1...151.0.","Xanthurenate..204.0...160.0."
"40","C","1.434706"," 0.272905276","0.9455582","-0.1637620131","0.6951630","1.399656","0.7656872","1.2513083","2.000987","1.570099","-0.18496887"," 0.69884853","1.1060391","2.622842"," 0.73750703","1.937966","0.5616468","1.1554002"," 0.43891213","3.041077","1.635155","2.127094","3.252408","0.7900320","0.8130134","2.804084","1.716866","2.630513","2.748108","0.8025519","-0.317557398","1.1842805"," 0.1156871160","-0.1706710640","1.828544","1.816902"," 0.213502364","1.2019678","1.358654","0.8836164","1.802972","1.3385842","2.170436","1.555320","0.10909250","0.9767556","3.707977","2.105236","3.183462","1.508302","0.6618725","1.1953006","1.2892734","0.8943962"," 1.53122533"," 0.299898622"," 0.4456928"," 0.5711865605","2.938789","1.849831","1.711910","1.772059","2.204045","1.3450558","0.7518447"," 1.111007756","0.33779971","3.446439","3.161405"," 0.6658503","1.804645","0.4353407","2.761972","2.518539","2.135060","2.761101","0.5668013","1.666181","1.887699","-1.362491e-01","1.1047832"," 0.14493159","0.7618332","2.066232","0.6084854","1.0147226","1.455648","0.8322520","0.9012350","2.869431","3.375070"," 0.074554763"," 1.1862281","0.4720526","1.2205283","0.8034370"," 0.156678180","2.271761","3.297182","0.6161902","2.154056","1.926772","1.3199531","2.202896","2.377078","2.121685","3.566607","-0.049102514","2.222254","2.134783"," 0.227683723","0.7670396"
"41","C","1.974677"," 0.904379252","1.6906561"," 0.4984544734","1.3048433","1.944731","1.3039971","1.4351390","2.591547","2.212055"," 0.19140740"," 1.21742660","1.7085336","3.148613"," 1.64954402","2.582367","1.1331091","1.7207151"," 1.28468412","3.587885","2.174267","2.853955","3.976878","1.5861942","1.3588316","3.375705","2.346602","3.309883","3.388068","1.4724347"," 0.622790813","1.7986457"," 0.7534508861"," 1.0270087992","2.385175","2.079341"," 1.073669433","1.8019177","1.922763","1.4204437","2.331803","1.8447409","2.761008","2.110047","0.77328845","1.6306556","4.240267","2.891584","3.815274","1.956952","1.1101702","1.8739720","1.6524376","1.7378420"," 2.33677442"," 1.543580193"," 0.9722955"," 0.0428090406","3.611982","2.399116","2.279267","2.438492","2.477970","1.8552461","1.4231031"," 0.475199501","1.26238123","3.959413","3.756919"," 0.8208665","1.893388","1.4367243","3.248291","3.156527","2.726976","2.967670","1.1665316","2.151417","2.457989"," 6.093247e-01","1.8484770"," 1.08512773","1.2201280","2.935924","1.3914270","1.5602281","1.913443","1.6981951","1.4545904","3.573599","3.874130"," 0.544756260"," 1.0397072","1.2760617","1.6475306","1.3080418"," 0.930661580","2.845386","3.392570","1.3596262","2.829192","2.446892","1.7226091","3.094957","3.073280","2.823351","4.114370"," 0.642783918","2.783939","2.542668"," 0.894457397","1.4720250"
"42","C","1.423849"," 0.068266307","1.0237013","-0.1527459234","0.6522603","1.373459","0.7336571","1.4652413","1.853947","1.549393","-0.51212327"," 0.60393667","1.0396183","2.583186"," 0.82261611","1.997773","0.5735405","1.1677757"," 0.75396701","2.956561","1.688683","1.975116","3.204913","0.7002468","0.7175787","2.857747","1.713546","2.882658","2.799497","1.0293675","-0.381889669","1.1264090"," 0.0008058227"," 0.5249626236","1.771741","1.811314"," 0.625746263","1.1690026","1.320632","0.8610848","1.742051","1.8597838","2.103487","1.530075","0.20360701","0.9768340","3.585206","2.337008","3.265087","1.381551","0.7603070","1.3242705","1.1201177","1.1210315"," 1.70063906"," 0.616994137"," 0.5247174","-0.3233929751","3.093688","1.787816","1.699383","2.069363","1.968572","1.6252562","0.8242872"," 0.308819160","0.69858335","3.259969","3.254446","-0.0152294","1.333268","0.8096845","2.896724","2.329912","2.046736","2.225343","0.5524987","1.744793","1.971071","-4.072155e-02","1.1664366"," 0.59318925","0.6960844","2.334290","0.8519930","0.8205899","1.331500","0.9267822","0.8537243","2.813897","3.341487","-0.052250392"," 0.2081055","0.4693015","1.1351521","0.7166774"," 0.100957698","2.172038","3.520024","0.8176435","2.166324","1.687213","1.4629620","3.031655","2.488657","2.304566","3.435040","-0.092111684","2.356247","1.876967"," 0.074537168","0.8726878"
"43","C","1.529129"," 0.446707333","0.9840600","-0.1611340260","0.7482361","1.514461","0.7220191","1.4928940","1.990181","1.420970","-0.20931718"," 0.40938170","1.0884774","2.650452"," 0.89384556","1.980942","0.5225369","1.1693433"," 0.77416755","3.146904","1.758237","2.440280","3.337396","0.9198752","0.8499260","2.854117","1.550387","2.776392","2.680947","1.3759468","-0.137677093","1.1552784","-0.0166290321"," 0.4654289309","1.851130","1.939113"," 1.041508942","1.1945863","1.367537","0.9349173","1.802652","2.1268882","2.024298","1.583254","0.19180236","1.1901528","3.682699","2.676572","3.216954","1.465149","0.7886002","1.5726735","0.7650182","1.2532425"," 1.83684504"," 1.140365042"," 0.5029983","-0.6291338380","2.904235","1.816740","1.710564","1.905089","2.132450","1.0726993","0.6910031"," 0.109128135","0.45160282","3.340480","3.147323"," 0.2966151","1.616166","0.6788453","2.749742","2.426820","1.979966","3.075392","0.5897017","1.560700","2.073337","-5.566477e-03","1.4556459"," 0.41680214","0.7456291","2.465207","0.4753382","0.9379817","1.379290","1.3444619","0.9116381","3.103022","3.341013","-0.066746259"," 1.2107756","0.5672223","0.9471006","0.7507215"," 0.212525899","2.451408","2.448241","0.8664039","2.251817","2.036134","1.3161687","2.306560","2.379490","2.304371","3.539084"," 0.087237192","2.286807","2.136009"," 0.164758271","0.7488531"
"44","C","1.559684"," 0.681718467","1.1355489"," 0.1958862493","0.9917223","1.666131","1.0317961","1.3264264","2.245568","1.710952","-0.03021261"," 1.10444047","1.3182460","2.981036"," 1.24225858","2.376540","0.7940922","1.4299670"," 0.71150752","3.384365","1.908549","2.559747","3.666138","1.1869295","0.9784422","3.107840","1.826087","2.926740","3.032345","0.6241199","-0.057982773","1.4295515"," 0.2573009425"," 0.2675852092","2.084647","2.131613"," 0.608572016","1.5033407","1.645499","1.1219432","2.068533","1.3875084","2.374800","1.829250","0.39557608","1.0682096","3.964142","2.559310","3.621062","1.695430","0.9555604","1.5835659","1.2628593","1.3595320"," 1.50603479"," 0.441007398"," 0.6897033","-0.4825767293","3.304970","2.123308","1.937039","2.188693","2.307909","1.6752901","1.0258669","-0.149331068","0.74556489","3.680794","3.507414"," 0.5861330","1.743858","0.7238958","2.948759","2.840511","2.343702","2.706485","0.8397964","1.944721","2.170554","-7.854370e-04","1.3463085"," 0.89132810","0.9666566","2.615746","1.0597887","1.2824556","1.609234","0.8875837","1.1501926","3.116785","3.741689"," 0.258371860"," 1.6054461","0.9219256","1.4973852","1.0619303"," 0.464000947","2.638318","3.517235","0.9781964","2.435819","2.199284","1.5880508","2.760258","2.692617","2.449311","3.809288"," 0.292714573","2.564542","2.410819"," 0.436939271","1.1531487"
"45","C","1.692675"," 0.682139914","1.2919248"," 0.1602297233","1.0432934","1.602599","1.0002879","1.5782688","2.155361","1.799374","-0.03555787"," 0.89175983","1.2927718","2.818712"," 0.95750930","2.259206","0.7416942","1.4035624"," 1.03243001","3.257837","1.842091","2.495405","3.618209","1.0269705","1.1129986","3.134067","1.927832","2.980132","3.004282","1.0676165"," 0.084256566","1.3788605"," 0.5633135566"," 0.3151919323","2.059355","2.143417"," 0.665434925","1.4317808","1.584668","1.2059923","2.061018","1.5083127","2.318970","1.857237","0.44763144","1.2857578","3.916763","2.598302","3.524963","1.601609","0.9069408","1.6678227","1.5580823","1.2925883"," 1.67808333"," 0.523393082"," 0.8250015","-0.2082048278","3.259431","2.029927","1.814724","2.090925","2.250157","0.9879909","1.1783150"," 0.475203253","0.83029130","3.607072","3.498863"," 0.7344068","1.912693","0.7741494","3.064528","2.772263","2.273274","3.058833","0.8715453","1.776512","2.130746"," 1.171035e-01","1.5948069"," 0.67189923","0.8659700","2.634840","0.7996849","1.2237413","1.537445","0.9538677","1.1244446","3.212259","3.520966","-0.043918495"," 1.0267078","0.8546151","1.3208034","0.9168070"," 0.423511055","2.453076","3.936198","0.8967158","2.582725","2.207883","1.3759221","2.728794","2.487554","2.369851","3.753696"," 0.236744603","2.593696","2.234425"," 0.008438098","0.6902630"
"46","C","1.478648"," 0.400425413","1.4047428","-0.2153776187","0.8219260","1.400536","0.7531045","1.8565946","2.084824","1.647435","-0.39274571"," 0.69946269","1.3486899","2.562344"," 1.14888774","2.033881","0.6192763","1.2157533"," 0.14525958","3.039371","1.570339","2.104992","3.434751","0.9236072","0.8438053","2.553908","1.853440","2.818005","2.807811","0.8461890","-0.359591066","1.1484527"," 0.1080237404"," 0.6372145210","1.858215","2.112721"," 0.687487131","1.2066664","1.398799","1.1844102","1.805072","1.3470328","2.361780","1.586940","0.09758560","0.7631225","3.697972","2.238601","3.281127","1.630992","0.6986083","1.0650836","1.1634084","1.1871222"," 0.89683182","-0.134858475"," 0.3598533"," 0.0660000878","2.870736","1.922835","1.902389","1.764490","2.025887","0.8062266","0.8415215"," 0.518385271","0.76531768","3.325015","3.228390"," 0.3478215","1.828347","0.6218429","2.804461","2.591563","2.341587","3.554589","0.6608129","1.583900","1.825922"," 1.688699e-03","1.5006768"," 0.32617740","0.8049289","2.278500","0.7254149","0.9320576","1.580561","0.9400800","0.8896572","2.854273","3.273929"," 0.020790045"," 1.0652269","0.6020600","0.8880665","0.7402181"," 0.384376207","2.314367","3.248870","0.7165090","2.252114","1.894991","1.2881347","1.696349","2.256136","2.174960","3.590069"," 0.064459093","2.207897","1.970845"," 0.339649443","0.7222641"
"47","C","1.427954"," 0.045454777","1.1697043","-0.2203332086","0.5519046","1.375796","0.6713497","1.7078750","1.630522","1.512554","-0.36008309"," 0.47979149","1.2243763","2.490652"," 1.09093848","1.904237","0.4583573","1.1205450"," 0.75665433","2.813416","1.616622","2.095302","3.439595","0.9806093","0.5690619","2.957083","1.642596","2.669793","2.665805","1.1980046"," 0.433834461","1.1388653","-0.1920426742"," 0.7592487331","1.735137","1.671520"," 0.585211199","1.1423223","1.222411","0.9252622","1.732072","1.1860080","2.143316","1.491815","0.08713217","1.3281232","3.582652","2.393518","3.136566","1.571939","1.3842456","1.4341737","1.0257388","0.9040563"," 1.11443386"," 1.469685423","-0.0547918","-0.5589320544","2.832912","1.713645","1.696280","1.838833","2.052031","2.2130097","1.0588817","-0.420720041","0.60387381","3.342323","2.836544"," 0.6593190","1.718886","0.6587963","2.610313","2.536939","2.068837","3.066397","0.6615530","1.615068","1.898909"," 1.672887e-01","1.0873048"," 0.55936288","0.6062918","2.481017","1.0281464","0.9435728","1.586330","1.3028444","0.8343843","2.910466","3.172305"," 0.182480133"," 0.3471166","0.4503838","1.0479189","0.7509764"," 0.123099906","2.233630","2.988957","0.7166998","2.105905","1.630414","1.0096291","3.261525","2.325605","2.217938","3.466776"," 0.130186184","1.838245","1.853812"," 0.254025921","0.7119749"
"48","C","1.453098"," 0.160470163","1.2199565","-0.1673857816","0.7542520","1.437882","0.7297348","1.8201108","2.118983","1.657931","-0.25640533"," 0.67549799","1.2354367","2.457677"," 1.06488649","2.141305","0.6529274","1.1705360"," 0.43027875","3.133283","1.720670","2.149190","3.477970","0.9363075","0.9010226","2.824861","1.754492","3.035625","2.853550","0.6773919","-0.383914756","1.0871423","-0.0308096465"," 0.9022090099","1.895713","1.912948"," 0.546704053","1.2281235","1.402536","0.9603574","1.823901","1.3316511","2.252303","1.598935","0.22122393","0.9869987","3.655797","2.102674","3.376709","1.638835","0.5769942","1.0516704","0.9848235","1.2300741"," 1.16197951"," 0.064607324"," 0.5276893","-0.0001956671","2.996282","1.976768","1.804609","1.841656","2.028997","0.9146719","0.7645643"," 0.663573113","0.67102252","3.327274","3.238089"," 0.7285311","1.826604","0.5969600","2.868490","2.471914","2.212672","3.568796","0.5758774","1.609944","1.970212","-3.048687e-02","1.5436090"," 0.31613543","0.7899652","2.476769","0.9179587","0.8692014","1.670694","0.7531794","0.8927027","2.837816","3.376830","-0.074404525"," 1.0591083","0.7316734","0.8733866","0.7617503"," 0.207555035","2.342038","3.001771","0.5981336","2.207768","1.810793","1.2952473","2.639650","2.415848","2.098721","3.624297"," 0.119641935","2.238477","1.891431"," 0.115255219","0.8790669"
"49","C","1.819292"," 0.409329260","1.5157576"," 0.2440690067","1.0827371","1.735481","1.0593520","1.2064349","2.109096","1.715699"," 0.08977088"," 1.17752751","1.4068900","2.870331"," 1.26947910","2.324990","0.8566815","1.5419920"," 1.38889253","3.321071","1.853830","2.634951","3.497082","1.1711501","0.9493526","3.041311","1.804754","3.231224","3.118351","1.8011383"," 0.106237409","1.5351816"," 0.3755453788"," 1.0787634021","2.173173","1.666528"," 0.876626772","1.5378716","1.692728","1.3354057","2.175178","1.6446327","2.611540","1.918097","0.57653107","1.6060138","4.031963","2.689348","3.597261","2.035479","1.0328751","1.7287455","1.5897810","1.6257444"," 1.76741113"," 1.096703942"," 0.7229910","-0.2245121785","3.209907","2.280807","2.128531","2.387876","1.963268","2.8434269","0.9886850"," 0.362512116","0.75562555","3.772743","3.404378"," 0.3665354","1.601784","0.9580734","2.934530","2.713967","2.573583","2.466318","0.8825238","1.838640","2.105087"," 2.908101e-01","1.8144920"," 0.72721796","0.9865617","2.711702","1.0141461","1.3556722","2.126987","1.6777808","1.1654794","3.233453","3.619231"," 0.117321594"," 0.7847811","1.0853927","1.6047188","1.1850483"," 0.459427134","2.545122","3.052496","1.0401316","2.519828","1.993053","1.3342310","3.372565","2.671722","2.476008","3.944782"," 0.316383441","2.490795","2.555842"," 0.490355278","1.1087672"
"50","C","1.804827"," 0.538533617","1.1875349"," 0.2029563520","1.0559067","1.722795","1.0622904","1.2754896","2.296511","1.428563","-0.13050590"," 0.87374110","1.3334357","2.968926"," 1.14510218","2.351647","0.8586181","1.4443734"," 0.66344961","3.387376","1.927267","2.673415","3.519752","1.2758197","1.1313532","3.110710","1.617622","3.008525","3.138341","1.1090986"," 0.096495415","1.3819243"," 0.4818834763"," 0.7205752280","2.124420","1.894424"," 0.558211753","1.4099559","1.626268","1.3047609","2.076545","1.5874877","2.466435","1.880370","0.56045729","1.6213143","3.992577","2.892573","3.613341","1.737200","1.0391867","1.4283953","1.4097711","1.5346516"," 2.02194889"," 0.893886348"," 0.8579343"," 0.0045489369","3.207634","2.217523","2.034940","2.236106","2.408467","1.4437434","1.2896079"," 0.517434532","0.83794475","3.709320","3.626314"," 0.6210332","1.734695","0.9722794","3.049460","2.621464","2.443368","2.433438","0.8852578","1.871031","2.222196"," 2.983082e-01","1.4272254"," 0.73670075","1.0474089","2.535960","0.9643520","1.3482590","1.594764","1.2222652","1.1561796","3.266588","3.720450","-0.051386850"," 0.4501727","1.0292809","1.5278442","1.0443681"," 0.515651065","2.591779","3.306898","1.0203107","2.465384","2.132738","1.4938505","2.586056","2.646587","2.510982","3.909007"," 0.420553254","2.623910","2.244392"," 0.681218485","1.1094391"
"51","C","1.772530"," 0.642747538","1.3086337","-0.0022874517","1.1737049","1.562689","0.9693278","1.0560787","2.335511","1.754142","-0.10743712"," 1.12973541","1.3210872","2.815056"," 1.33265873","2.258290","0.7437075","1.3967648"," 0.67709902","3.380750","1.845152","2.477305","3.571886","1.1834640","1.1494762","3.147603","1.881623","3.132192","3.085773","1.2333544"," 0.432983965","1.3914152"," 0.2908447835"," 0.5197873996","2.008922","2.151990"," 0.732066766","1.3892711","1.571424","1.1096589","2.007131","1.8162610","2.292656","1.788551","0.43951506","1.3444651","4.014626","2.620877","3.518013","1.770532","0.9658870","1.4852103","1.3753330","1.2601604"," 1.30108503"," 0.585187157"," 0.8411801"," 0.2490093620","3.093548","2.126825","1.874195","2.216080","2.429877","1.6565261","1.1247034"," 0.985561141","0.87239001","3.615945","3.507374"," 0.6701857","1.807095","1.0695985","3.011090","2.694012","2.260955","2.598099","0.8799670","1.747946","2.078664"," 3.399693e-01","1.4516878"," 0.56060138","1.1244116","2.695979","1.0390885","1.2168726","1.834297","1.1633871","1.0616740","3.126606","3.713984"," 0.179303733"," 1.0273906","0.9409711","1.2994855","0.9946357"," 0.463862956","2.417257","3.583242","0.8454856","2.471429","2.233153","1.3361034","2.995380","2.663917","2.362534","3.796485"," 0.376757019","2.617088","2.366877"," 0.590809665","1.0450224"
"52","C","1.851797"," 0.696908495","1.6643873"," 0.2841443933","1.2522463","1.841945","1.1821892","2.2306813","2.624656","2.051373"," 0.16473993"," 1.05431066","1.6208892","3.092202"," 1.61286902","2.490416","0.9095233","1.6514881"," 1.05250624","3.445309","2.066536","2.563845","3.871297","1.3633108","1.2998035","3.286201","2.195653","3.143384","3.336215","1.3961873"," 0.335218708","1.5698780"," 0.6778273181"," 1.7440535074","2.288754","2.393831"," 1.923384307","1.6608120","1.798936","1.3567992","2.252935","2.0458065","2.602112","2.016206","0.62333827","1.6333349","4.179534","2.742731","3.755663","1.924473","1.1255014","1.8274735","1.6272379","1.5160163"," 1.79655744"," 0.750173967"," 0.9127300","-0.3385862400","3.475421","2.499558","2.190821","2.257174","2.403309","1.2603858","1.2544687"," 0.467873570","1.05242691","3.846282","3.678325"," 1.0670812","2.272567","0.9961901","3.223747","3.081050","2.543576","3.896032","1.1937534","2.066291","2.324907"," 2.518994e-01","1.8519265"," 0.92727670","1.2017061","2.756811","1.2246353","1.4246166","1.854393","1.9310198","1.3409277","3.404645","3.712290"," 0.262198785"," 1.5139657","1.1360969","1.6331058","1.2244005"," 0.606505177","2.667398","3.716497","1.1940168","2.623587","2.297716","1.5726043","2.556804","2.834234","2.665905","4.134337"," 0.597238351","2.767422","2.425785"," 0.517169678","1.2317634"
"53","C","1.672091"," 0.607631129","1.3522583"," 0.1707999922","0.9960370","1.712224","0.9734453","1.4229956","2.500478","1.868106"," 0.38841760"," 0.92016336","2.4663243","2.890312"," 1.69213774","2.279240","0.8271623","1.4669411"," 0.84796861","3.201027","1.944245","2.523145","3.779759","1.3191255","1.1593899","3.279224","2.042000","3.096275","3.156493","1.0323054"," 0.077470143","1.4173069"," 0.6406992552","-0.0231287881","2.091356","2.003565"," 0.399715760","1.4617198","1.590745","1.2071463","2.053756","1.5660016","2.319955","1.887662","0.36614134","1.0744152","3.943162","2.547371","3.529507","2.089264","0.8016005","1.8532785","1.6938741","1.4687776"," 1.21022358","-0.247816332"," 0.6705611","-0.2920301438","3.269738","2.162321","1.918117","2.557385","2.767825","1.8130513","1.1669995","-0.033359116","0.72874594","3.680007","3.520045"," 0.4613412","1.846128","0.9668239","3.057998","2.849862","2.295208","2.915642","0.8469240","1.956736","2.224373"," 2.720207e-01","1.6257578"," 1.35189228","1.0239707","2.858278","1.3472694","1.2681077","2.252608","1.1395182","1.2301755","3.199709","3.518808"," 0.159460797"," 1.5431930","1.1045207","1.4782523","1.0187073"," 0.198959510","2.750250","3.743595","1.1241498","2.248030","2.264974","1.5053619","2.786699","2.705249","2.607291","3.859350"," 0.485269172","2.530109","2.520857"," 0.497149598","1.1449566"
"54","C","1.641364"," 0.217239856","1.2250704"," 0.0816915550","0.8439378","1.613676","0.9259068","1.1647736","2.268688","1.511680","-0.03141455"," 0.93364094","1.3079490","2.691384"," 1.38227176","2.030115","0.7319048","1.3740970"," 1.02277571","3.217073","1.724905","2.463416","3.576326","1.1199747","0.9525821","2.943599","1.672929","2.789921","2.954887","1.3159711"," 0.447465811","1.3519114"," 0.4233609046"," 0.3860707961","1.976324","1.960958"," 0.529276405","1.3739884","1.524250","1.2209600","1.957204","1.6710440","2.395325","1.726668","0.10899992","1.8294591","3.742499","2.419141","3.320100","1.679587","1.0197187","1.6271893","1.0668280","1.2385165"," 1.61996177"," 1.177590249"," 0.6950179"," 0.0598172958","3.056143","2.082838","2.036780","2.077389","2.236756","0.9547397","1.1301943"," 0.782508158","0.68419853","3.435676","3.433170"," 0.7349694","1.993055","1.0547956","2.888470","2.476475","2.374261","2.345328","0.9137960","1.720824","2.000803"," 2.381507e-01","1.1913378"," 0.62379520","0.8098351","2.586812","1.1268819","1.0578454","1.577099","1.0762838","1.0238873","3.171965","3.431724"," 0.156642605"," 1.1594912","0.6473786","1.0961636","0.9428791"," 0.277519995","2.403321","2.606218","1.0051932","2.496173","1.835421","1.3575480","2.084476","2.552188","2.486603","3.728674"," 0.275368883","2.511181","2.170061"," 0.310059947","1.0342233"
"55","C","2.114982"," 0.855478380","1.6299943"," 0.3892458884","1.3332899","1.951132","1.3163105","2.3302926","2.640146","2.192980","-0.11879902"," 1.13088295","2.0404813","3.192944"," 1.26845730","2.645270","1.1200710","1.6742805"," 1.17047042","3.600607","2.125293","2.655975","3.907413","1.4007068","1.3481783","3.467687","2.369734","3.285443","3.371422","1.3894874"," 0.440867426","1.7244262"," 0.8561374691"," 0.2479538981","2.327450","2.173898"," 0.729879728","1.7471554","1.903739","1.5418544","2.506233","1.7364459","2.774310","2.181690","0.76655886","1.6276734","4.235675","2.864587","3.891596","1.991995","1.2720167","1.5968761","1.4985502","1.5973629"," 2.13856273"," 1.123066549"," 1.0741019"," 0.9533859685","3.475703","2.415551","2.388084","2.474940","2.706356","1.4270884","1.3460722"," 1.484105362","1.35326941","3.956469","3.688337"," 1.1595365","2.387749","1.4486573","3.306109","3.334103","2.767225","3.845997","1.1883248","2.150419","2.364950"," 6.006490e-01","1.7319797"," 0.60815199","1.1555885","2.813001","1.3308842","1.5015229","2.021419","1.2867908","1.4440932","3.425124","3.937300"," 0.617813718"," 1.1526910","1.1872507","1.8390962","1.3248139"," 0.787349605","2.741792","2.806101","1.3297423","2.787097","2.562958","1.6930426","2.453603","2.873828","2.859207","4.130014"," 0.681924120","2.753715","2.654038"," 0.986719631","1.2858357"
"57","C","1.512627"," 0.185520644","1.1645670","-0.0698723439","0.7097442","1.421535","0.7270253","2.0657399","2.128761","1.736025"," 1.26100177"," 0.48578022","1.1053661","2.625284"," 0.78667812","2.055804","0.4864693","1.1377498"," 0.37980511","2.988961","1.661932","1.562659","3.296787","1.0036199","0.7196116","2.813850","1.897676","2.722660","2.906498","0.8303773","-0.111422179","1.1373405"," 0.4399636683"," 0.0093096909","1.819455","2.119676"," 0.416537322","1.1686178","1.359448","0.9146808","1.960102","1.1905492","2.181355","1.637453","0.24600557","1.0943579","3.773664","2.033461","3.332944","1.428727","0.5363764","1.0149149","1.2370106","1.0364852"," 0.41793619"," 0.041567605"," 0.4999125"," 0.7063968077","3.035148","1.870135","1.797112","1.849224","2.041595","1.4224741","0.8045881"," 1.020927457","0.67350766","3.484069","3.306339"," 0.7121038","1.809045","0.6429087","2.802943","2.672885","2.182489","3.197295","0.5804248","1.705119","1.927146","-4.342823e-02","1.4227403"," 0.20612089","0.6681799","2.293855","0.7028172","1.0840639","1.437895","0.8055241","0.9033929","2.858985","3.321183"," 0.090895531"," 0.8721304","0.6431792","1.4350265","0.6277531"," 0.398666289","2.178801","2.468608","0.7242915","2.179717","1.874119","1.2107095","1.591037","2.377257","2.219431","3.496196"," 0.222791021","2.340341","2.020814"," 0.422004728","0.7525269"
