"","sample_id","condition","sample_type","L-histidine","L-Histidine-13C","L-4-hydroxyproline","Asn_13C","o-phosphoethanolamine","o-phosphoethanolamine13C","L-asparagine"
"50","1358BZU_0001QC_J1",NA,"QC",5888.344,28985.15,2004.54,140158.813,81.853,496.082,44229.164
"51","1358BZU_0016_A1_10_2_Ikaros","Ikaros","Sample",10839.058,31851.777,4177.931,147678.484,372.86,354.689,66678.656
"52","1358BZU_0015_A1_10_2_Control","Control","Sample",7617.478,29072.049,2929.567,137557.406,967.879,372.976,50168.02
"53","1358BZU_0024_A1_10_24_Ikaros","Ikaros","Sample",6068.27,35311.598,1780.312,160935.797,1743.888,460.131,35352.727
"54","1358BZU_0023_A1_10_24_Control","Control","Sample",8243.546,33951.367,3355.269,159329.5,1205.566,441.705,55136.461
"55","1358BZU_0013_A1_10_0_Control","Control","Sample",4596.878,28738.965,1730.255,138323.578,1275.412,435.633,30761.645
"56","1358BZU_0014_A1_10_0_Ikaros","Ikaros","Sample",9935.313,31572.715,3732.387,149507.359,939.997,366.804,65454.668
"57","1358BZU_0001QC_K1",NA,"QC",5819.517,28529.938,1955.582,137105.422,90.493,499.277,42766.359
"58","1358BZU_0022_A1_10_18_Ikaros","Ikaros","Sample",7147.212,31708.885,2698.886,148441.438,584.876,340.085,43631.223
"59","1358BZU_0021_A1_10_18_Control","Control","Sample",8387.301,31817.303,3731.323,153405.438,1509.606,365.709,58299.547
"60","1358BZU_0019_A1_10_12_Control","Control","Sample",47407.887,29593.168,6248.085,137578.063,2544.239,306.287,124055.555
"61","1358BZU_0020_A1_10_12_Ikaros","Ikaros","Sample",9869.174,33616.598,3134.447,156450.063,386.963,314.239,58758.77
"62","1358BZU_0017_A1_10_6_Control","Control","Sample",11857.521,33204.625,5139.33,151843.609,1547.137,378.52,77592.805
"63","1358BZU_0018_A1_10_6_Ikaros","Ikaros","Sample",9319.085,37162.855,3983.694,175868.016,728.91,467.498,66011.063
"64","1358BZU_0001QC_L1",NA,"QC",5503.553,30168.861,1972.987,142903.625,41.403,475.586,43343.496
"65","1358BZU_0001Blank_A3",NA,"Blank",296.293,0,4.994,1.7,5.514,2.03,102.425
"66","1358BZU_0001Blank_B3",NA,"Blank",62.382,30464.09,8.229,148809.234,36.156,445.185,4720.073
